reutiliza_contraseñas,longitud_promedio,usa_gestor,usa_2fa,cambia_password_tras_filtracion,actualizaciones_automaticas,dias_desde_actualizacion,actualiza_apps,usa_wifi_publico_sin_vpn,usa_vpn,hace_clic_enlaces_desconocidos,comparte_red_o_dispositivos,hace_backups_regulares,backups_automaticos_en_nube,bloqueo_automatico,disco_cifrado,acceso_remoto_habilitado,riesgo_categoria
False,12,True,True,False,True,107,True,True,False,False,True,False,True,True,False,False,Medio
False,12,True,False,True,True,66,True,False,False,False,True,False,False,True,True,False,Bajo
True,8,False,True,False,True,1,False,True,True,True,False,False,False,False,True,False,Medio
True,14,False,False,False,True,196,False,False,True,False,False,False,True,True,False,True,Medio
True,10,False,True,True,False,29,True,False,False,False,False,True,True,True,True,False,Bajo
True,13,False,False,True,False,16,False,True,False,True,True,True,False,False,False,True,Alto
False,14,False,False,True,False,28,False,False,False,False,False,False,True,True,False,True,Bajo
False,12,True,False,False,True,37,True,False,True,False,False,True,False,True,False,False,Medio
False,20,True,False,False,True,2,True,False,False,False,False,True,True,True,False,False,Bajo
False,11,False,True,True,False,65,False,False,False,False,False,True,False,False,True,False,Medio
False,16,True,True,True,True,8,False,False,True,False,True,False,True,True,False,False,Medio
True,9,False,True,False,False,58,True,True,False,False,False,False,False,False,False,False,Alto
True,8,False,False,False,True,49,True,False,False,True,False,False,False,False,True,False,Medio
True,14,True,False,True,False,150,False,False,True,True,False,False,False,True,False,False,Medio
False,10,False,False,True,True,103,True,True,True,False,True,True,False,True,False,False,Medio
True,21,False,False,False,False,46,True,True,False,False,True,True,False,True,False,False,Medio
True,11,True,False,False,False,55,False,True,True,False,False,False,False,False,False,False,Medio
False,15,False,True,False,True,0,True,True,True,False,False,False,True,False,False,False,Bajo
True,7,False,False,False,False,36,False,True,False,True,True,False,False,False,False,False,Alto
False,8,True,False,True,True,79,True,False,True,False,True,False,False,True,False,False,Medio
False,18,True,False,True,True,4,True,False,False,False,True,True,True,False,False,False,Bajo
True,15,True,True,False,True,1,True,True,False,False,False,False,True,True,True,False,Bajo
False,15,False,False,False,True,11,True,True,False,False,True,True,True,True,False,False,Bajo
True,14,False,False,False,False,20,True,True,True,False,False,True,False,True,False,False,Medio
True,11,False,True,True,False,2,False,True,False,False,True,False,True,False,True,False,Medio
False,17,True,True,False,False,2,False,False,True,True,False,False,True,False,False,False,Medio
True,10,True,False,True,True,58,False,False,True,False,False,True,False,False,True,False,Bajo
True,4,True,True,False,True,169,True,False,False,True,True,False,False,True,False,False,Medio
True,12,False,False,False,True,95,False,False,True,True,False,False,False,True,False,False,Medio
True,4,False,False,False,False,161,False,True,False,False,False,False,True,False,False,True,Medio
False,9,False,False,False,True,31,False,True,False,False,False,False,False,False,False,False,Medio
False,11,False,True,True,False,32,True,True,False,False,True,True,False,True,False,False,Medio
False,13,True,True,False,True,96,False,False,False,False,False,True,False,True,False,False,Bajo
False,19,False,True,False,True,4,True,False,True,False,False,False,True,False,True,False,Bajo
True,16,False,True,False,True,89,True,True,False,False,False,False,False,True,True,False,Medio
True,16,False,True,False,False,67,False,True,True,False,False,False,True,False,False,False,Medio
True,16,False,True,False,True,76,True,False,False,False,True,False,True,True,False,False,Medio
True,16,True,True,True,True,83,True,True,False,False,False,True,True,True,True,False,Bajo
False,15,True,True,True,True,27,True,False,False,False,True,True,False,True,True,True,Bajo
True,13,True,True,False,True,33,False,True,True,False,False,True,False,False,False,False,Medio
False,8,False,False,False,False,121,False,False,False,False,False,False,False,False,False,False,Alto
True,14,False,False,True,False,47,False,True,True,True,False,False,False,True,False,False,Alto
True,14,True,False,True,True,12,True,False,False,False,False,False,True,True,True,False,Bajo
True,8,False,True,True,False,9,True,True,True,False,False,False,False,False,False,True,Medio
False,10,False,False,False,True,81,True,True,False,False,True,False,False,False,False,False,Medio
False,10,True,True,True,True,15,True,False,True,False,False,False,False,True,False,False,Bajo
False,15,True,True,False,True,84,True,False,True,False,True,False,True,False,True,False,Bajo
True,18,False,True,True,False,1,True,False,False,False,False,False,True,False,False,False,Medio
False,4,True,True,True,True,8,False,False,False,False,False,False,False,False,False,False,Medio
False,17,False,True,True,False,38,False,True,False,False,False,True,False,True,False,False,Medio
False,20,True,True,True,True,4,False,False,True,False,False,True,False,False,False,False,Bajo
True,9,False,False,False,True,350,True,True,False,False,True,False,False,True,False,True,Alto
True,7,False,True,True,False,132,False,True,False,True,True,True,False,True,True,False,Medio
False,15,True,True,True,True,69,True,False,False,False,False,True,False,True,True,False,Bajo
True,14,False,True,False,False,4,True,True,False,False,False,True,False,True,False,False,Medio
False,13,False,False,False,False,37,False,True,False,False,False,True,False,True,False,False,Medio
True,13,True,False,False,False,16,False,True,False,False,True,False,False,False,False,True,Medio
True,18,True,True,False,False,31,True,False,True,False,True,False,False,False,False,False,Medio
False,7,True,False,False,False,243,True,False,True,False,False,False,False,False,False,False,Medio
False,12,True,False,True,True,5,True,True,False,False,False,True,False,True,False,False,Bajo
False,16,False,True,False,True,1,True,False,False,False,False,False,True,False,False,False,Medio
False,6,False,False,True,True,3,False,True,False,False,False,True,False,True,False,False,Medio
False,17,True,True,True,True,24,True,False,True,False,False,True,True,False,False,False,Bajo
False,12,False,True,False,True,27,False,True,True,False,False,True,False,False,False,False,Medio
False,18,True,True,True,True,36,True,True,True,False,False,False,False,True,False,False,Bajo
False,10,False,False,True,True,22,False,True,False,True,False,False,True,False,True,False,Medio
True,18,False,True,True,True,55,False,False,False,False,False,True,True,True,True,False,Bajo
True,17,False,False,False,True,20,True,False,True,True,False,True,False,False,False,True,Medio
True,10,False,False,True,True,69,True,False,False,False,False,False,False,True,True,False,Bajo
False,18,True,True,False,False,49,True,False,False,False,False,True,True,True,True,False,Bajo
False,15,True,True,False,False,16,True,False,False,False,False,True,False,True,True,False,Bajo
True,13,True,True,False,True,88,True,False,True,False,True,True,False,True,True,True,Bajo
False,16,True,True,True,True,10,False,False,True,False,False,False,True,True,True,True,Bajo
False,15,True,True,False,False,22,True,False,True,False,False,True,False,True,True,False,Bajo
False,17,False,True,False,True,46,False,False,True,False,False,True,False,False,True,False,Bajo
False,14,False,True,True,True,58,False,False,False,True,False,False,False,True,False,False,Medio
False,8,True,True,True,True,25,True,True,False,False,False,False,False,False,False,False,Medio
False,8,False,False,True,True,7,True,False,False,False,True,False,True,False,True,True,Medio
False,8,True,False,False,True,31,False,True,False,False,True,False,False,True,False,False,Alto
False,10,False,False,False,False,35,False,False,False,False,False,True,False,False,True,False,Medio
False,11,False,False,False,True,75,True,True,False,False,True,False,False,True,True,False,Medio
True,9,True,False,False,False,0,True,True,False,True,False,True,False,False,False,False,Medio
False,16,True,True,True,False,50,True,True,True,False,False,True,False,True,False,False,Medio
True,16,True,True,True,False,8,True,True,True,False,False,True,False,False,False,False,Medio
True,11,False,True,False,True,72,False,False,False,False,False,True,True,True,True,False,Bajo
True,20,False,True,True,True,11,True,False,True,False,False,True,False,True,True,False,Bajo
False,19,True,True,True,True,3,True,False,False,False,False,True,True,True,False,False,Bajo
False,11,False,True,True,False,36,True,False,False,False,True,True,True,True,False,True,Bajo
False,9,False,True,False,False,2,True,False,False,True,True,False,False,False,False,False,Medio
False,18,False,True,False,True,2,True,False,False,False,False,True,False,False,False,False,Bajo
True,13,False,True,False,True,0,True,True,False,False,False,True,True,True,True,False,Bajo
False,14,False,True,True,False,31,True,False,False,True,True,True,False,False,False,False,Medio
False,11,False,True,False,False,20,True,False,False,False,True,False,False,True,False,False,Bajo
True,14,False,False,False,False,2,False,True,True,False,False,False,True,False,False,False,Medio
False,14,False,True,False,False,27,False,False,False,True,False,True,False,False,False,False,Bajo
False,8,False,False,False,True,40,True,False,False,True,False,True,False,False,False,True,Medio
True,11,False,False,True,False,79,False,True,False,True,False,False,False,True,False,True,Alto
True,13,False,False,True,False,15,True,False,False,False,True,False,False,True,True,False,Medio
False,9,False,True,True,True,36,False,False,False,False,False,False,False,False,False,False,Medio
False,10,True,False,True,False,19,True,True,True,False,True,False,True,False,True,False,Medio
True,9,False,False,True,True,10,True,True,False,False,False,False,True,False,False,False,Medio
True,4,False,True,False,False,5,False,True,False,False,False,True,False,False,False,False,Bajo
False,9,True,True,False,False,23,True,True,False,False,True,False,False,False,True,False,Medio
True,11,False,False,True,True,10,False,False,False,True,True,False,False,False,True,True,Medio
False,9,False,False,False,False,71,False,True,False,True,True,True,False,False,False,False,Medio
False,5,False,True,True,False,128,False,True,True,True,True,True,False,False,False,False,Medio
False,13,False,False,False,True,78,False,False,False,False,False,False,True,True,True,False,Bajo
True,9,True,False,False,True,23,True,True,False,True,True,False,True,True,False,False,Medio
False,13,False,False,False,True,13,False,False,True,True,True,True,False,False,False,False,Medio
False,13,False,False,True,True,25,False,False,True,False,False,True,True,False,False,False,Bajo
False,14,False,True,False,False,30,False,True,False,True,False,False,False,False,False,False,Alto
True,14,True,True,False,False,15,True,False,False,False,True,True,True,True,True,False,Bajo
True,15,False,False,True,True,2,False,False,False,False,False,False,True,True,False,False,Medio
True,14,False,False,True,False,53,False,True,False,False,False,False,False,False,False,False,Alto
False,13,False,True,False,False,46,True,False,True,False,False,False,True,False,True,False,Medio
False,14,True,False,False,False,13,False,False,False,False,True,True,False,True,False,False,Bajo
True,6,False,False,False,False,21,False,True,True,False,True,False,False,False,False,True,Alto
False,19,True,False,True,False,2,False,True,False,False,True,False,False,False,False,False,Medio
True,17,True,False,False,True,22,True,True,False,True,True,False,True,False,False,True,Medio
True,11,True,False,False,False,167,True,True,False,False,False,False,True,False,False,False,Medio
False,15,True,True,True,True,1,False,False,False,True,False,False,False,True,False,False,Medio
True,20,True,True,True,False,9,False,False,True,False,False,True,False,True,True,False,Bajo
False,18,True,True,True,True,9,True,False,True,True,False,True,False,False,True,False,Bajo
True,6,False,False,True,True,364,True,True,False,False,True,True,False,False,False,False,Alto
False,12,True,True,False,True,33,True,True,False,False,False,True,False,True,False,True,Bajo
False,10,False,True,False,True,54,False,True,False,False,False,True,False,True,False,False,Bajo
True,13,True,False,True,True,233,True,False,True,False,True,False,False,True,False,False,Bajo
True,14,True,True,True,False,86,True,False,False,True,False,True,True,False,True,False,Bajo
False,16,False,True,True,False,3,False,False,True,False,False,True,True,True,False,False,Bajo
False,23,False,False,True,False,4,True,False,False,False,False,False,True,True,False,False,Bajo
False,7,True,False,True,True,91,False,False,False,True,False,False,False,False,False,False,Medio
False,10,False,False,False,False,8,True,False,False,False,True,True,False,False,True,False,Medio
False,4,True,True,False,True,173,False,False,True,False,True,True,False,True,False,True,Medio
False,17,False,False,True,False,47,True,True,False,False,False,False,False,True,True,False,Medio
False,16,False,True,True,False,64,True,False,True,False,False,True,False,False,False,False,Medio
False,15,False,False,False,False,3,False,True,False,True,True,False,True,False,False,False,Medio
False,13,True,True,False,False,67,True,True,False,True,False,False,False,True,False,False,Medio
True,17,True,True,True,False,27,True,True,False,False,False,True,True,True,False,True,Medio
False,4,False,False,True,False,3,True,False,False,False,False,False,True,True,False,True,Medio
False,6,False,False,True,False,35,False,True,False,False,False,True,False,True,False,False,Medio
False,14,False,True,False,True,20,True,False,False,False,False,False,False,True,False,False,Bajo
True,10,True,True,True,False,17,True,False,True,True,False,False,False,True,False,False,Medio
True,14,False,True,False,False,31,True,False,False,False,False,False,False,False,False,False,Medio
False,18,False,False,True,True,25,True,True,True,False,False,False,False,False,True,False,Medio
True,14,False,True,True,False,155,False,True,True,False,False,True,False,False,False,False,Medio
False,19,True,True,True,True,3,False,False,False,False,True,True,True,False,False,False,Bajo
True,9,False,False,True,True,73,True,True,False,True,True,False,False,True,False,False,Medio
False,17,True,True,False,False,8,False,False,True,False,False,True,True,True,False,False,Bajo
True,8,False,False,True,True,10,True,True,True,True,False,False,False,True,False,False,Medio
True,16,False,True,False,True,50,False,False,False,False,False,True,True,True,True,True,Bajo
False,14,False,True,True,False,55,True,False,False,False,False,False,True,True,False,True,Bajo
False,13,False,False,False,True,24,True,True,False,False,True,True,False,True,False,False,Medio
True,9,True,False,True,False,42,True,False,False,True,False,False,True,False,True,False,Bajo
False,6,False,True,True,True,25,False,False,False,False,True,True,False,True,True,False,Bajo
False,20,False,False,False,True,47,True,False,True,True,False,True,False,True,False,True,Medio
True,10,True,False,False,True,42,True,False,True,False,False,True,False,True,False,False,Medio
False,12,True,False,True,True,108,True,False,True,False,False,True,False,True,False,False,Bajo
True,14,True,True,False,True,185,True,False,False,False,True,False,False,False,False,False,Medio
False,15,False,True,True,True,34,False,False,False,False,False,False,True,True,False,False,Bajo
False,14,False,True,True,True,82,False,False,True,False,False,True,True,True,False,False,Bajo
True,12,True,True,False,True,32,False,True,True,False,False,False,True,False,False,False,Medio
False,8,False,True,True,False,31,False,True,True,False,True,False,False,True,False,False,Medio
False,13,True,True,True,False,209,True,False,True,False,False,True,False,False,False,False,Medio
True,10,False,True,False,False,24,False,False,False,True,False,False,True,False,False,False,Medio
False,17,True,True,False,True,11,True,False,True,False,False,False,False,True,False,True,Medio
False,11,False,False,False,False,62,True,False,False,False,True,False,True,False,False,False,Medio
False,11,True,True,False,True,1,True,True,False,False,True,False,True,True,False,False,Bajo
True,10,False,True,False,False,30,False,True,False,False,True,False,True,False,True,False,Medio
True,13,True,False,False,False,62,False,False,False,False,False,False,False,False,False,False,Medio
False,14,True,True,True,False,83,True,True,False,False,False,False,True,True,True,True,Bajo
False,15,False,True,True,True,79,True,False,True,False,True,False,False,True,False,False,Medio
False,15,True,False,False,True,144,False,False,True,True,False,False,False,True,False,False,Medio
False,12,False,False,False,True,12,True,False,False,False,False,True,False,True,False,False,Bajo
True,14,False,False,False,True,37,False,True,False,False,False,False,False,True,False,False,Medio
False,16,False,True,True,True,21,False,True,False,False,True,False,False,True,False,False,Medio
False,20,False,False,False,True,63,True,False,True,False,False,True,True,False,False,False,Bajo
True,9,False,True,False,True,1,True,True,True,False,False,True,False,True,True,False,Bajo
False,20,True,True,False,True,5,True,False,False,False,False,True,False,True,False,False,Bajo
False,15,False,True,True,False,77,False,False,True,False,False,False,False,False,True,False,Medio
False,14,True,False,True,False,3,True,False,True,False,True,False,True,True,False,False,Bajo
True,12,False,False,False,False,93,False,True,False,True,False,False,False,False,False,False,Alto
True,14,False,False,False,False,18,False,True,False,True,True,False,False,True,False,False,Medio
False,18,False,True,True,True,7,True,False,True,True,False,True,False,False,False,False,Bajo
True,4,False,False,False,True,63,False,True,False,False,True,False,False,False,False,False,Medio
False,11,False,False,True,False,70,False,True,False,False,True,True,False,True,False,False,Medio
False,13,True,True,False,True,19,True,False,False,False,False,False,False,True,False,False,Bajo
True,9,False,True,False,False,5,False,True,True,False,False,False,False,True,False,False,Medio
False,17,True,False,True,True,29,True,True,True,True,False,False,False,False,False,False,Medio
False,19,False,True,True,True,2,False,True,False,False,False,True,True,True,False,False,Bajo
False,10,True,True,True,True,28,False,True,False,False,False,False,True,True,True,False,Bajo
False,15,True,True,True,True,64,True,False,False,True,True,True,True,True,False,False,Bajo
True,9,False,False,True,False,15,False,False,False,False,True,False,False,False,False,False,Alto
False,15,True,True,True,True,19,True,False,True,False,True,True,True,True,True,False,Bajo
True,10,True,False,True,True,53,False,True,False,False,False,False,True,True,False,False,Medio
False,13,True,False,False,True,144,False,False,False,False,False,False,False,False,False,False,Alto
False,11,False,True,False,True,20,True,False,False,False,False,True,True,True,False,False,Bajo
True,10,True,False,True,False,27,True,False,False,False,False,True,False,False,False,False,Bajo
True,12,True,False,False,False,205,False,False,True,False,False,True,True,True,True,False,Bajo
True,18,True,True,True,True,99,False,True,False,False,False,False,True,False,False,False,Bajo
False,12,False,False,False,True,19,False,False,True,False,False,False,True,False,True,False,Bajo
True,13,False,False,False,False,85,False,False,True,True,True,False,False,False,True,False,Alto
False,13,False,True,False,True,21,True,False,True,False,False,True,False,True,True,False,Bajo
False,15,True,True,True,True,72,False,False,True,False,False,True,True,True,False,False,Bajo
True,13,False,True,False,True,27,False,True,False,False,True,True,True,False,False,False,Medio
False,15,False,False,True,True,42,False,False,False,False,False,True,False,True,True,True,Bajo
False,11,True,False,False,True,1,True,True,True,True,False,False,False,True,True,False,Medio
False,13,False,False,False,True,260,False,True,False,False,False,True,False,True,True,True,Bajo
False,17,True,False,False,True,27,True,True,True,True,False,True,False,False,False,False,Medio
False,16,True,True,True,True,28,True,False,False,True,False,True,False,True,False,False,Bajo
True,13,False,False,False,False,22,True,True,False,False,False,False,False,True,False,False,Medio
False,9,False,False,False,True,68,False,True,False,False,False,False,False,False,False,False,Alto
False,9,False,True,True,False,47,True,True,False,False,False,False,True,True,True,False,Medio
True,14,False,True,False,False,68,True,False,True,True,True,False,False,True,True,False,Medio
False,12,True,True,True,False,2,True,False,False,False,False,True,True,True,False,False,Bajo
False,11,True,True,False,False,94,True,False,False,False,False,False,True,False,False,False,Bajo
False,12,True,True,False,False,35,False,True,False,False,True,False,False,False,False,False,Medio
False,12,False,False,False,False,18,True,True,False,False,False,False,True,False,False,False,Medio
False,13,False,True,True,False,129,False,True,False,False,False,False,False,True,False,False,Medio
False,19,True,True,True,False,6,False,False,False,False,False,True,False,True,False,False,Bajo
False,12,False,True,False,True,34,True,False,False,False,True,True,True,False,False,False,Bajo
False,13,True,True,False,True,30,False,False,True,False,False,True,False,True,True,False,Bajo
True,12,False,False,False,False,43,False,False,False,False,False,True,False,False,False,False,Medio
False,12,True,False,True,False,26,False,False,True,True,True,False,False,True,True,False,Bajo
True,15,False,False,False,True,10,False,False,True,False,False,False,True,False,True,False,Medio
False,12,True,False,True,True,74,False,True,False,False,False,False,False,True,False,False,Medio
True,10,True,False,False,True,51,False,True,False,False,False,True,False,True,True,False,Bajo
